x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:21,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:22,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:23,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:24,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:25,6
c2:02:0b:00:05:60,40001,30556,-86,-59,7.84,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-86,-59,7.84,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-86,-59,7.84,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-86,-59,7.84,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:26,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-69,-59,2.54,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-86,-59,7.84,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-72,-59,3.09,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:27,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-75,-59,3.78,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-76,-59,4.04,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-71,-59,2.9,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-70,-59,2.71,2021.11.16 23:28,6
c2:02:0b:00:05:60,40001,30556,-85,-59,7.34,2021.11.16 23:28,6
